Sample_ID,Annotator,Correctness,Relevance,Hinglish_Naturalness,Average_Score
44,Priya,8,9,6,7.67
44,Amit,5,6,7,6.0
44,Sneha,5,9,3,5.67
44,Vikas,9,5,6,6.67
45,Rahul,8,6,5,6.33
45,Priya,10,4,5,6.33
45,Amit,5,7,7,6.33
45,Sneha,7,5,9,7.0
45,Vikas,10,5,10,8.33
46,Rahul,6,6,10,7.33
46,Priya,8,8,6,7.33
46,Amit,7,8,8,7.67
46,Sneha,6,7,5,6.0
46,Vikas,7,10,5,7.33
47,Rahul,7,9,9,8.33
47,Priya,10,6,6,7.33
47,Amit,8,5,4,5.67
47,Sneha,7,8,5,6.67
47,Vikas,9,7,4,6.67
48,Rahul,6,8,9,7.67
48,Priya,8,6,6,6.67
48,Amit,4,4,7,5.0
48,Sneha,9,7,9,8.33
48,Vikas,6,7,6,6.33
49,Rahul,6,10,5,7.0
49,Priya,6,8,8,7.33
49,Amit,5,7,8,6.67
49,Sneha,7,9,9,8.33
49,Vikas,5,8,7,6.67
50,Rahul,9,8,6,7.67
50,Priya,7,8,10,8.33
50,Amit,6,4,10,6.67
50,Sneha,7,8,5,6.67
50,Vikas,9,7,9,8.33
